"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","11092.675","11576.719","12713.489","12178.107","11840.743","10623.299","9933.903","12236.779","11378.701","14891.687","16655.514","14495.651","14055.611","15592.084","14132.618","10234.597","21862.654","11419.038","9724.884","10201.594","10498.621","9999.909","11180.683","5746.189","14348.971","16794.86","179.683","447.374","612.389","649.059","487.711","531.715","539.049","649.059","660.06","707.731","726.066","759.069","806.74","810.407","2379.883","2409.219","2438.555","2563.233","2618.238","2720.914","2717.247","2823.59","2658.575","2629.239","2508.228","2500.894","1349.456","861.745","872.746","898.415","883.747","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","19042.5351795955","21102.6558387003","22561.0374006224","23749.3382062364","28592.5693392035","29917.2012475465","33119.6936847757","36439.0654080352","38531.2046279769","44788.142406797","46891.9695553418","59160.3986123184","59359.0933985699","63742.0666247048","63968.0332443633","67225.0693484066","65764.0782730283","65464.0881055506","67057.5423717632","66017.3167260939","63091.4385991363","66617.2970610492","74681.9677971374","79236.3639761167","75535.1865851584","75687.1296569977","76388.4053731793","73096.3054833269","77642.9097099041","85247.8552542733","74378.0816534588","74651.4746429956","68162.4840447957","57824.2826358921","64575.3790285952","77146.7244698624","76183.6868108378","86762.2850961233","87088.2363037932","75065.0815299708","77461.5637045435","71616.6659124635","68790.5207823259","89536.5743523134","106408.253340225","80954.4272140058","112586.510321967","122853.973363568","130569.386608754","148944.885941142","122216.886912213","140584.978262609","133288.116","139929.053","163665.544","161509.348","164886.655","","","","","",
"Afghanistan","AFG","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","271.358","293.36","363.033","392.369","476.71","542.716","575.719","557.384","498.712","528.048","671.061","748.068","627.057","704.064","770.07","876.413","883.747","975.422","935.085","1166.106","924.084","1015.759","993.757","1221.111","1133.103","1547.474","1140.437","2016.85","1822.499","1866.503","1851.835","1719.823","927.751","894.748","858.078","825.075","781.071","726.066","689.396","495.045","498.712","491.378","440.04","619.723","561.051","861.745","1136.77","1199.109","2812.589","4946.783","5870.867","7609.025","6761.948","4785.435","3773.343","4741.431","3476.316","","","","","",
"Africa Western and Central","AFW","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","6934.297","7422.008","7623.693","8401.097","9699.215","12115.768","13193.866","14701.003","12867.503","14701.003","19306.755","20777.222","21822.317","23824.499","26263.054","27623.511","28243.234","28400.915","31939.57","37616.086","46816.589","50692.608","57135.527","56174.773","64176.167","64106.494","60087.462","52995.484","61513.925","66992.423","49603.509","50963.966","56875.17","57139.194","48199.048","48375.064","53926.902","57461.89","52302.421","53252.174","58694.002","66523.047","67601.145","66193.017","63325.423","72822.953","68616.904","68352.88","71532.169","66706.397","105499.59","118290.086","109181.258","115913.87","124190.289","114733.096","121869.078","","","","","",
"Angola","AGO","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","348.365","311.695","1008.425","1034.094","1041.428","1012.092","1334.788","799.406","1419.129","2500.894","1745.492","1646.483","2478.892","2511.895","2453.223","2181.865","1936.176","1074.431","2680.577","2772.252","2658.575","2764.918","2159.863","2537.564","2291.875","1961.845","1870.17","2926.266","1906.84","1745.492","2478.892","2284.541","2291.875","2970.27","1298.118","8423.099","7044.307","3333.303","2764.918","3711.004","3670.667","4305.058","5023.79","6842.622","5038.458","4737.764","7763.039","8808.134","10227.263","12306.452","13380.883","14356.305","17282.571","17454.92","28265.236","17080.886","17931.63","","","","","",
"Albania","ALB","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","1576.81","1818.832","1958.178","1650.15","1536.473","1624.481","1899.506","1917.841","2185.532","2222.202","2482.559","2940.934","4085.038","3498.318","2423.887","2456.89","2654.908","2948.268","3285.632","3777.01","1573.143","3498.318","3146.286","3131.618","2948.268","2757.584","2871.261","2823.59","2577.901","4099.706","2174.531","2229.536","1415.462","1481.468","1606.146","1774.828","1756.493","1411.795","1628.148","2790.587","2845.592","3127.951","3641.331","3894.354","3762.342","3916.356","3545.989","3380.974","3799.012","3417.644","3494.651","3777.01","3157.287","3333.303","3861.351","3340.637","3362.639","","","","","",
"Andorra","AND","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407.037","407.037","407.037","410.704","407.037","425.372","454.708","465.709","491.378","513.38","524.381","524.381","531.715","535.382","561.051","575.719","546.383","539.049","539.049","517.047","517.047","491.378","487.711","476.71","462.042","465.709","469.376","","","","","",
"Arab World","ARB","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","47036.7650294113","52912.2243053434","60508.4063229127","68306.8100302043","61861.4532650547","70831.1434223363","83146.086875981","58979.3888866495","65622.1061465708","74544.0069710471","82201.3285274477","95935.2475551541","96924.1191339692","105790.878420593","112562.259268836","122392.157416611","150216.577416801","181437.716148683","187345.212903909","230094.609149412","242376.467680346","276049.566795386","298558.34254663","336786.132688257","344046.435172122","361077.818163387","398000.59190918","386284.853166862","415881.154583368","408389.257640524","348020.302","427253.171","469753.701","529074.76","532811.433","508524.892","506068.002","490043.212","508711.909","517087.337","624625.779","622733.607","600163.222","666044.544","723326.751","725215.256","762589.32","720301.476","799108.973","869607.048","890519.949","873362.056","990647.384","971674.326","1038219.375","987893.467","919881.618","","","","","",
"United Arab Emirates","ARE","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","11.001","11.001","18.335","22.002","18.335","22.002","25.669","47.671","91.675","139.346","539.049","590.387","810.407","1180.774","1716.156","2504.561","4341.728","7546.686","8441.434","9273.843","9020.82","13109.525","14202.291","14092.281","16175.137","17722.611","16666.515","16226.475","18316.665","19537.776","17638.27","17451.253","20590.205","27513.501","28587.932","22082.674","15405.067","14954.026","19134.406","15320.726","46655.241","34983.18","10318.938","28928.963","29302.997","30454.435","31719.55","33824.408","35096.857","42335.515","28331.242","29801.709","72390.247","67535.139","73273.994","42020.153","52335.424","","","","","",
"Argentina","ARG","CO2 emissions from liquid fuel consumption (kt)","EN.ATM.CO2E.LF.KT","41224.414","42155.832","45115.101","40678.031","45247.113","47362.972","48609.752","49812.528","52603.115","60622.844","63978.149","69375.973","69353.971","71268.145","71510.167","68968.936","71924.538","72764.281","72958.632","79137.527","76570.627","70116.707","69086.28","68730.581","67289.45","60487.165","62250.992","66508.379","66284.692","59801.436","59236.718","61282.904","63684.789","67205.109","67260.114","62885.383","65976.664","66922.75","69632.663","72071.218","66875.079","63714.125","57542.564","59405.4","67868.836","71858.532","81979.452","78015.425","88730.399","82448.828","90219.201","86977.573","85657.453","90835.257","87586.295","91623.662","88792.738","","","","","",
